metabolite,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi
10fthf5glu,10-formyltetrahydrofolate-[Glu](5),,,,,
10fthf,10-Formyltetrahydrofolate,HMDB00972,C00234,122347,,
10m3hddcaACP,10-methyl-3-hydroxy-dodecanoyl-ACP,,,,,
10m3hundecACP,10-methyl-3-hydroxy-undecanoyl-ACP,,,,,
10m3oddcaACP,10-methyl-3-oxo-dodecanoyl-ACP,,,,,
10m3oundecACP,10-methyl-3-oxo-undecanoyl-ACP,,,,,
10mddcaACP,10-methyl-dodecanoyl-ACP,,,,,
10mtddec2eACP,10-methyl-trans-dodec-2-enoyl-ACP,,,,,
10mtundec2eACP,10-methyl-trans-undec-2-enoyl-ACP,,,,,
10mundecACP,10-methyl-undecanoyl-ACP,,,,,
11m3hddcaACP,11-methyl-3-hydroxy-dodecanoyl-ACP,,,,,
11m3oddcaACP,11-methyl-3-oxo-dodecanoyl-ACP,,,,,
11mddcaACP,11-methyl-dodecanoyl-ACP,,,,,
11mtddec2eACP,11-methyl-trans-dodec-2-enoyl-ACP,,,,,
12daihdglyc,"1,2-Dianteisoheptadecanoyl-sn-glycerol",,,,,
12daipdglyc,"1,2-Dianteisopentadecanoyl-sn-glycerol",,,,,
12dgr120,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",,,,,
12dgr140,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",,,,,
12dgr141,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",,,,,
12dgr160,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",,,,,
12dgr161,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",,,,,
12dgr180,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,
12dgr181,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",,,,,
12dihdglyc,"1,2-Diisoheptadecanoyl-sn-glycerol",,,,,
12dipdglyc,"1,2-Diisopentadecanoyl-sn-glycerol",,,,,
12ditdglyc,"1,2-Diisotetradecanoyl-sn-glycerol",,,,,
12dixdglyc,"1,2-Diisohexadecanoyl-sn-glycerol",,,,,
